JLPT,Word,Reading,Meaning,Word Type
N5,速い,はやい,"fast, quick",I-adjective (keiyoushi)
N5,春,はる,spring,Noun
N5,貼る,はる,to post; to paste; to attach,Godan verb with 'ru' ending
N5,晴れ,はれ,clear (sunny) weather,Noun
N5,晴れる,はれる,to be sunny,Ichidan verb
N5,半,はん,"half (e.g., にじはん | half-past two)","Noun, used as a prefix"
N5,晩,ばん,evening,Noun
N5,～番,～ばん,~st; ~th best,Noun
N5,パン,パン,bread,Noun
N5,ハンカチ,ハンカチ,handkerchief,Noun
N5,番号,ばんごう,"number, series of digits",Noun
N5,晩御飯,ばんごはん,"dinner, evening meal",Noun
N5,半分,はんぶん,half,Noun
N5,東,ひがし,east,Noun
N5,～匹,～ひき,counter for small animals,Counter
N5,引く,ひく,"to pull, to draw; subtract",Godan verb with 'ku' ending
N5,弾く,ひく,to play (a string instrument or piano),Godan verb with 'ku' ending
N5,低い,ひくい,"short, low",I-adjective (keiyoushi)
N5,飛行機,ひこうき,airplane,Noun
N5,左,ひだり,left hand side,Noun
N5,人,ひと,"man, person",Noun
N5,一つ,ひとつ,one thing,Numeric
N5,一月,ひとつき,one month,Noun
N5,一人,ひとり,one person,Noun
N5,暇,ひま,"free time, leisure",Na-adjective (keiyodoshi)
N5,百,ひゃく,hundred,Numeric
N5,病院,びょういん,hospital,Noun
N5,病気,びょうき,illness; sickness,Noun
N5,平仮名,ひらがな,hiragana,Noun
N5,昼,ひる,"noon, daytime",Noun
N5,昼御飯,ひるごはん,"lunch, midday meal",Noun
N5,広い,ひろい,spacious; wide; broad,I-adjective (keiyoushi)
N5,フィルム,フィルム,film (roll of),Noun
N5,封筒,ふうとう,envelope,Noun
N5,プール,プール,swimming pool,Noun
N5,フォーク,フォーク,fork,Noun
N5,吹く,ふく,"to blow (wind, etc.)",Godan verb with 'ku' ending
N5,服,ふく,clothes,Noun
N5,二つ,ふたつ,two things,Numeric
N5,豚肉,ぶたにく,pork,Noun
N5,二人,ふたり,two people,Noun
N5,二日,ふつか,two days; second day of the month,Noun
N5,太い,ふとい,"fat, thick",I-adjective (keiyoushi)
N5,冬,ふゆ,winter,Noun
N5,降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",Godan verb with 'ru' ending
N5,古い,ふるい,"old (in reference to objects, not people), aged, ancient",I-adjective (keiyoushi)
N5,～分,～ふん,~ minutes,Noun
N5,文章,ぶんしょう,"sentence, text",Noun
N5,ページ,ページ,a page,Noun
N5,下手,へた,"unskillful, poor",Na-adjective (keiyodoshi)
N5,ベッド,ベッド,bed,Noun
N5,ペット,ペット,pet,Noun
N5,部屋,へや,a room,Noun
N5,辺,へん,"area, vicinity",Noun
N5,ペン,ペン,pen,Noun
N5,勉強,べんきょう (する),study,Noun
N5,便利,べんり,"convenient, handy",Na-adjective (keiyodoshi)
N5,帽子,ぼうし,hat; cap,Noun
N5,ボールペン,ボールペン,ball-point pen,Noun
N5,外,ほか,"other, the rest",Noun
N5,ポケット,ポケット,pocket,Noun
N5,欲しい,ほしい,"to want, in need of",I-adjective (keiyoushi)
N5,ポスト,ポスト,"mailbox; post, position",Noun
N5,細い,ほそい,"thin, slender, fine",I-adjective (keiyoushi)
N5,ボタン,ボタン,button,Noun
N5,ホテル,ホテル,hotel,Noun
N5,本,ほん,book,Noun
N5,～本,～ほん,counter for long cylindrical things,Counter
N5,本棚,ほんだな,bookshelf,Noun
N5,本当,ほんとう,"real, true",Noun
N5,～枚,～まい,counter for flat things,Counter
N5,毎朝,まいあさ,every morning,Noun
N5,毎月,まいげつ; まいつき,"every month, monthly",Adverb (fukushi)
N5,毎週,まいしゅう,every week,Noun
N5,毎日,まいにち,every day,Noun
N5,毎年,まいねん; まいとし,"every year, yearly, annually",Adverb (fukushi)
N5,毎晩,まいばん,every night,Noun
N5,前,まえ,"before, in front","Noun, used as a prefix"
N5,～前,～まえ,in front of ~,"Noun, used as a prefix"
N5,曲る,まがる,"to turn, to bend",Godan verb with 'ru' ending
N5,まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",I-adjective (keiyoushi)
N5,また,また,and; furthermore,Adverb (fukushi)
N5,まだ,まだ,"yet, still, besides",Adverb (fukushi)
N5,町,まち,town; city,Noun
N5,待つ,まつ,to wait,Godan verb with 'tsu' ending
N5,まっすぐ,まっすぐ,"straight (ahead), direct",Na-adjective (keiyodoshi)
N5,マッチ,マッチ,match,Noun
N5,窓,まど,window,Noun
N5,丸い; 円い,まるい,"round, circular",I-adjective (keiyoushi)
N5,万,まん,ten thousand,Numeric
N5,万年筆,まんねんひつ,fountain pen,Noun
N5,磨く,みがく,to brush (teeth); to polish,Godan verb with 'ku' ending
N5,右,みぎ,right hand side,Noun
N5,短い,みじかい,short (length),I-adjective (keiyoushi)
N5,水,みず,water,Noun
N5,店,みせ,"store, shop",Noun
N5,見せる,みせる,"to show, to display",Ichidan verb
N5,道,みち,"road, street; way, directions",Noun
N5,三日,みっか,"three days, third day of the month",Noun
N5,三つ,みっつ,three things,Numeric
N5,緑,みどり,green,Noun
N5,皆さん,みなさん,"all of you, everyone",Noun
N5,南,みなみ,South,Noun
N5,耳,みみ,ear,Noun
N5,見る,みる,"to see, to look",Ichidan verb
N5,みんな,みんな,"all, everyone, everybody",Noun
N5,六日,むいか,six days; sixth day of month,Noun
N5,向こう,むこう,"beyond, over there",Noun
N5,難しい,むずかしい,difficult,I-adjective (keiyoushi)
N5,六つ,むっつ,six things,Numeric
N5,村,むら,village,Noun
N5,目,め,eye(s),Noun
N5,メートル,メートル,meter,Noun
N5,眼鏡,めがね,eye glasses,Noun
N5,もう,もう,already; again; more,Adverb (fukushi)
N5,木曜日,もくようび,Thursday,Noun
N5,もしもし,もしもし,Hello? (used on the phone),Interjection
N5,持つ,もつ,"to hold, to carry; to possess",Godan verb with 'tsu' ending
N5,もっと,もっと,more,Adverb (fukushi)
N5,物,もの,thing (concrete object),Noun
N5,門,もん,gate,Noun
N5,問題,もんだい,a problem,Noun
N5,～屋,～や,~ shop,Suffix
N5,八百屋,やおや,greengrocer,Noun
N5,野菜,やさい,vegetable,Noun
N5,易しい,やさしい,"easy, plain, simple",I-adjective (keiyoushi)
N5,安い,やすい,inexpensive; cheap (things),I-adjective (keiyoushi)
N5,休み,やすみ,holiday; day off; absence,Noun
N5,休む,やすむ,"to rest, to have a break, to get time off",Godan verb with 'mu' ending
N5,八つ,やっつ,eight things,Numeric
N5,山,やま,mountain,Noun
N5,やる,やる,"to do; to give (to pets, parents, siblings, etc.)",Godan verb with 'ru' ending
N5,夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",Noun
N5,夕飯,ゆうはん,"dinner, supper, evening meal",Noun
N5,郵便局,ゆうびんきょく,post office,Noun
N5,昨夜,ゆうべ,last night,Noun
N5,有名,ゆうめい,famous,Na-adjective (keiyodoshi)
N5,雪,ゆき,snow,Noun
N5,ゆっくりと,ゆっくりと,"slowly, at ease",Adverb (fukushi)
N5,八日,ようか,eight days; eighth day of the month,Noun
N5,洋服,ようふく,Western-style clothes,Noun
N5,よく,よく,"frequently, often (much); well, skillfully",Adverb (fukushi)
N5,横,よこ,beside; side; width,Noun
N5,四日,よっか,four days; fourth day of the month,Noun
N5,四つ,よっつ,four things,Numeric
N5,呼ぶ,よぶ,to call (one's name); to invite,Godan verb with 'bu' ending
N5,読む,よむ,to read,Godan verb with 'mu' ending
N5,夜,よる,"evening, night",Noun
N5,弱い,よわい,weak,I-adjective (keiyoushi)
N5,来月,らいげつ,next month,Noun
N5,来週,らいしゅう,next week,Noun
N5,来年,らいねん,next year,Noun
N5,ラジオ,ラジオ,radio,Noun
N5,ラジオカセ,ラジオカセ,radio cassette player,Noun
N5,りっぱ,りっぱ,"splendid, fine",Na-adjective (keiyodoshi)
N5,留学生,りゅうがくせい,international student,Noun
N5,両親,りょうしん,"parents (lit., both parents)",Noun
N5,料理,りょうり,cooking; cuisine,Noun
N5,旅行,りょこう,"travel, trip",Noun
N5,零,れい,"zero, nought",Noun
N5,冷蔵庫,れいぞうこ,refrigerator,Noun
N5,レコード,レコード,record,Noun
N5,レストラン,レストラン,restaurant,Noun
N5,練習,れんしゅう (する),(to) practice,Noun
N5,廊下,ろうか,corridor,Noun
N5,六,ろく,six,Numeric
N5,ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",Noun
N5,若い,わかい,young,I-adjective (keiyoushi)
N5,分かる,わかる,to understand,Godan verb with 'ru' ending
N5,忘れる,わすれる,to forget,Ichidan verb
N5,私,わたし,"I, myself",Pronoun
N5,私,わたくし,"I (formal), myself, private affairs",Pronoun
N5,渡す,わたす,to hand (something) over (v.t.); to get across,Godan verb with 'su' ending
N5,渡る,わたる,"to cross over, to go across",Godan verb with 'ru' ending
N5,悪い,わるい,"bad, sinful; inferior",I-adjective (keiyoushi)
N5,ある,ある,to be; to have (inanimate),Godan verb with 'ru' ending (irregular verb)
N5,川,かわ,river,Noun
N5,九,きゅう/く,nine,Numeric
N5,七,しち/なな,seven,Numeric
